FED,Province_Territory,All_Households,Under_5000,5000_9999,10000_14999,15000_19999,20000_24999,25000_29999,30000_39999,40000_and_over,Avg_Income,Median_Income,SE_Avg_Income,Avg_Value_Dwelling,Less_than_Grade9,Grades9_13_no_cert,Grades9_13_with_cert,Trades_cert,Other_nonuniv_no_cert,Other_nonuniv_with_cert,Univ_no_degree,Univ_with_degree
Haldimand-Norfolk,Ontario,30110,1930,2420,3960,4240,4095,3770,4095,6070,25037,22491,277,58983,15720,22295,8545,2695,3195,9080,3540,2910
Halton,Ontario,36735,1405,2575,2835,3010,4140,4345,8285,10150,33212,30069,372,107702,9225,24765,12295,2550,5320,14020,9315,10325
Hamilton East (Est),Ontario,27740,2090,4725,3890,3860,4145,3175,3740,2100,20478,19226,165,44459,17515,20460,7100,2300,3395,6035,2545,1555
Hamilton Mountain,Ontario,31435,1545,3355,3440,3540,4280,4145,6285,4820,26072,24426,219,60630,12205,23510,9985,3250,5045,10860,4435,4225
Hamilton West (Ouest),Ontario,37345,4395,7850,5270,5065,4495,3405,3790,3075,19635,16013,208,52645,16915,18895,7125,2005,4070,7860,5095,7625
Hamilton-Wentworth,Ontario,27205,900,2120,2245,3035,3685,3915,5920,5385,29471,25813,277,78089,8110,20330,9020,2660,3935,10455,4945,6290
Hastings-Frontenac-Lennox and Addington (et),Ontario,22530,1710,4095,3560,3340,3135,2355,2780,1450,19744,17784,208,49348,11265,17550,6915,2165,2335,6560,2340,2305
Huron-Bruce,Ontario,22685,1755,4375,3710,3175,2240,2240,2625,1990,20492,17318,242,51873,11300,16515,6355,2070,2235,7530,2340,2055
Kenora-Rainy River,Ontario,24055,1955,3905,3240,2345,3195,2610,3880,2945,22802,20814,217,46449,13480,18100,6090,1895,2400,6530,3200,2640
Kent,Ontario,27995,2280,4580,4025,3900,3800,2855,3710,3710,21567,20814,215,54453,13175,20690,7570,1925,3355,7710,2980,2995
Kingston and the Islands (et les Îles),Ontario,32070,2545,4890,4250,4065,4510,3425,4680,3605,22526,20285,238,61060,8860,19590,9025,2540,4480,9950,5715,9165
Kitchener,Ontario,40805,1445,5360,5315,5905,7230,3870,5145,5145,23142,24231,213,59256,15560,25940,10655,2615,5245,12855,6530,5795
Lambton-Middlesex,Ontario,24365,1545,3465,3470,3250,3315,2885,3470,2955,23338,21877,277,61899,11645,18400,7660,2255,2875,7885,2580,2440
Lanark-Renfrew-Carleton,Ontario,25870,1865,3905,3205,3060,2900,2900,3985,4175,24672,21851,224,61204,9025,18005,8105,1880,2835,8735,4320,5250
Leeds-Grenville,Ontario,28120,1415,4535,4175,3950,3760,3000,4155,2675,21877,19384,198,53727,9825,20420,8715,2335,3670,9690,4000,3455
Lincoln,Ontario,33105,1755,3555,3455,3705,4960,4495,6425,4745,25634,24084,220,67942,13780,24410,10145,3460,4370,10605,4960,3900
London East (Est),Ontario,31525,2885,5455,5055,4585,3780,3120,3835,2810,20393,17576,173,57151,11705,18940,8185,2515,3915,8265,4890,5540
London West (Ouest),Ontario,46630,3330,6085,6310,6020,5415,4845,7550,7550,25032,21425,196,73500,8360,23275,12020,2410,5950,14775,10150,15580
London-Middlesex,Ontario,26430,1300,2390,3395,4440,3780,3115,5175,3115,25035,23608,198,61825,8525,20340,10350,2730,3690,9455,3615,3055
Mississauga North (Nord),Ontario,59305,2120,3990,4505,5830,14135,7305,9715,14135,31069,29259,172,94711,16620,39880,19010,4510,9145,23320,13745,14255
Mississauga South (Sud),Ontario,39655,1545,2740,3470,4350,4695,4845,7290,10825,32898,28280,285,121685,10400,26795,12275,2725,5860,14870,8530,10635
Nepean-Carleton,Ontario,38015,990,1840,2770,3350,4395,4845,8965,10865,32706,30723,200,79045,5450,23195,12855,2520,6140,15240,11025,15280
Niagara Falls,Ontario,26950,2060,4250,3610,3485,4265,3625,4610,2220,23063,21315,220,56927,12260,20805,9170,2550,3750,8410,4435,3540
Nickel Belt,Ontario,25670,1535,2760,2350,3240,4695,3440,4435,3100,24484,22850,200,50348,13250,21505,8625,2490,3115,7460,3240,2955
Nipissing,Ontario,22495,1770,3930,2880,3145,3035,2455,3330,1725,22058,19917,226,52234,9915,15845,7295,2225,2640,7460,3510,3070
Northumberland,Ontario,25575,1535,4045,3785,3840,4025,3135,3345,2085,21334,19708,186,52868,10435,20425,8045,2615,2945,8410,2990,2495
Ontario (FED-CEF),Ontario,34120,1160,2500,2500,2750,4275,5205,8495,7530,30042,29088,204,88206,8015,25875,12945,3155,5170,14050,6175,5840
Oshawa,Ontario,39200,2085,3845,3845,4495,6215,5310,5555,7555,28336,25851,178,65922,13580,31640,12035,3180,5445,12800,5290,4350
Ottawa Centre,Ontario,37855,2745,5105,4625,4810,4160,3535,5140,7875,27941,26753,223,85483,8210,14505,8190,1470,4375,8570,9500,17865
Ottawa West (Ouest),Ontario,38600,2505,4625,4730,4430,4430,3565,5560,6930,26753,26753,495,72378,8885,19340,10320,1965,4870,10435,7820,10825
Ottawa-Carleton,Ontario,43370,1985,3475,3425,4415,5040,9190,10795,4795,28381,28381,213,77482,9180,24985,15590,2725,6130,14410,11905,16285
